file_location,variable
# epicookbook/src/SIRModel.jl,"sir_sol"
# epicookbook/src/SIRModel.jl,"tspan"
# epicookbook/src/SIRModel.jl,"du[2]"
# epicookbook/src/SIRModel.jl,"(b, g)"
# epicookbook/src/SIRModel.jl,"S"
# epicookbook/src/SIRModel.jl,"pram"
# epicookbook/src/SIRModel.jl,"init"
# epicookbook/src/SIRModel.jl,"sir_prob2"
# epicookbook/src/SIRModel.jl,"(S, I, R)"
# epicookbook/src/SIRModel.jl,"du[3]"
# epicookbook/src/SIRModel.jl,"parms"
# epicookbook/src/SIRModel.jl,"β"
# epicookbook/src/SIRModel.jl,"γ"
# epicookbook/src/SIRModel.jl,"I"
# epicookbook/src/SIRModel.jl,"du[1]"
# epicookbook/src/SIRModel.jl,"sir_prob"
# epicookbook/src/ScalingModel.jl,"α"
# epicookbook/src/ScalingModel.jl,"sir_sol"
# epicookbook/src/ScalingModel.jl,"tspan"
# epicookbook/src/ScalingModel.jl,"βs[:, i]"
# epicookbook/src/ScalingModel.jl,"w"
# epicookbook/src/ScalingModel.jl,"μ"
# epicookbook/src/ScalingModel.jl,"K"
# epicookbook/src/ScalingModel.jl,"init"
# epicookbook/src/ScalingModel.jl,"(β, r, μ, K, α)"
# epicookbook/src/ScalingModel.jl,"dS"
# epicookbook/src/ScalingModel.jl,"ws"
# epicookbook/src/ScalingModel.jl,"(S, I)"
# epicookbook/src/ScalingModel.jl,"parms"
# epicookbook/src/ScalingModel.jl,"du"
# epicookbook/src/ScalingModel.jl,"r"
# epicookbook/src/ScalingModel.jl,"dI"
# epicookbook/src/ScalingModel.jl,"β"
# epicookbook/src/ScalingModel.jl,"m"
# epicookbook/src/ScalingModel.jl,"βs"
# epicookbook/src/ScalingModel.jl,"sir_prob"
# epicookbook/src/ScalingModel.jl,"i"