subject,verb,object
This section,implements,model
the number of parasites per host,follows,a Binomial distribution with k
one of the simplest models,be,The susceptible ( SIS ) model
an endemic equilibrium,have,the simplest models
infected individuals,infect,Susceptible individuals
a capita rate beta I,infect,Susceptible individuals
infected individuals,infect,S
a capita rate beta I,infect,S
a capita rate Gamma,recover,individuals
two metapopulation SEIR models,combine,This code
Lloyd Jansen,describe,https:doiorgjmbs  ) 
matrix Beta,control,Cross - coupling between patches
matrix Beta,control,Equations Cross - coupling
the effective contact rates,describe,matrix Beta
cross - coupling,switch,we
patches,switch,we
outflow of each patch,denote,the elements on 
the flow from patch,describe,Element C_ij
I,describe,Element C_ij
all elements of C,set,all elements on the row
zero,set,all elements on the row
migration between patches,switch,we
many SEIR models,consist,Model description
many SEIR models,consist,This model
between patch contact,connect,many SEIR models
a constant total population size ,have,The model
each time step,correspond,births
each time step,correspond,deaths
patches,expose,susceptibles in patches
patches,recover,R_n
j flow from patch,neq,i
Sigma rate of breakdown,patch,I
Kermack,propose,The model in a closed population
a special case of a general model,propose,The model in a closed population
infected individuals,infect,Susceptible individuals
a capita rate beta I,infect,Susceptible individuals
infected individuals,infect,S
a capita rate beta I,infect,S
a capita rate Gamma,recover,individuals
SIRS dynamics,implements,the model of
This section,implements,the model of
which,considers,SIRS ( susceptible ) infection dynamics in a infinite population of households
SEIRD model ,be,The model
different rates,survive,infected individuals
different rates,die,infected individuals
different rates,die,SEIRD model 
I_d infectious,survive,who
R recovered D,die,who
D,recover,R
birth of in this model,!be,There
Beta rate of rate,be,Parameters
( ie inverse of mean incubation period,appear,symptoms
rate immunity,apply,rate case fatality ratio ( proportion rate (
E,apply,rate case fatality ratio ( proportion rate (
( https:doiorg  ),formulate,deterministic  time analogues of  model passage times
that model times,using,the method of ( Cox )
Beta_textmin,is,the minimum value of the transmission rate Beta
the efficacy of interventions,evaluate,the network model of 
pneumococcal transmission,control,interventions
pneumococcal transmission,control,interventions
several features : age,assign,Individuals
the rate of transmission between individuals in the population,influence,These features
compartmental models,build,parametric models
compartmental models,build,Flexibility
time,vary,parameters as transmission rates
this,do,One way
a stochastic process for these parameters,specify,One way
state variables with a system of,be,they
values,fit,these models
time,change,these parameters
models,relate,The models
forecasting of in,use,which
a stochastic process for the transmission rate,define,We
the form S,have,These models
the number of susceptible individuals,be,St
time,be,St
alternative forms for the process,show,I R We
Brownian motion,govern,the process
this process,truncate,we
a model,consider,We
log(beta(t,consider,We
dependent drift :,include,a model
downward drift on the transmission rate,generate,the effect of
large numbers of,be,there
the SIR model,extend,The susceptible model
an exposed infectious class,include,the SIR model
proportions of ,consider,The implementation in this section
infection,associate,additional mortality
Date,@sdwfrost,Simon Frost
interest in the total number of people,be,there
( chapters sir  intro ),use,simulations
[ epicookbook chapters  intro ) ),use,simulations
efficient methods for,be,there
the final sizeof,compute,efficient methods for
a simple SIR model,compute,efficient methods for
other models,generalise,the method
Black,be,The details
a record of the number of infection,keep,we
Z _,be,the number of infection events
Z_t,be,the number of recovery events
Z _  _,be,the state of our model
one infection event,have,we
a recovery event,have,we
( Z _ Z _ ),transition,the system
the probability of all paths,calculate,one
the state,lead,all paths
Z Z,!transition,the system
the states,calculate,The probabilities
a flow diagram,depicting,the dynamics of the Ebola virus
a stochastic model of genealogies,be,The Kingman coalescent
some assumptions,be,The model
numerous extensions to the coalescent,be,There
part of the state of the art,be,it
the coalescent,derive,the significant assumptions
the coalescent,derive,the significant assumptions
a grammar,be,The Newick format
data structures,represent,a grammar
genealogies,represent,the established ways
an clear [ wiki  Newick_format ) of this grammar,have,Wikipedia
an example (,be,The following
Wikipedia,take,an example (
the Kingman coalescent,implement,we
Newick format,inspire,trees
a way,be,Newick format
data structures,represent,a way
this code,translate,you
another language  things,translate,you
a language,use,you
recursion,support,which