v_id,v_name,v_type,v_math_sci_concept
1,create_sir,function,math_expr
2,m,argument,concept
3,solns,argument,concept
4,initialS,local_variable,concept
5,initialI,local_variable,concept
6,n_person(s),unitful_aggregation,unit
7,Beta,domain_specific_parameter,concept
8,initialpop,domain_specific_parameter,concept
9,Gamma,domain_specific_parameter,concept
10,time_start,local_variable,concept
11,time_end,local_variable,concept
12,time_span,domain_specific_parameter,concept
13,SIRSimulation,oop_object,concept
14,agent_based_simulation,model_type,concept
15,n_day(s),unitful_aggregation,unit
16,compartmental_model,model_type,concept
17,sir_model,model_type,concept
18,transition_rate,generic_parameter,concept
19,compartment,model_component,concept