recipe_url,page_name,edge_relation,src,dst
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isComponentOf,susceptible,sir_model
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isComponentOf,indviduals,sir_model
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isComponentOf,infected ,sir_model
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isComponentOf,recovered,sir_model
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isComponentOf,closed population,sir_model
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isComponentOf,sir_model,compartmental model
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,represents,beta,infection rate
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,represents,gamma,recovery rate
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,verb,susceptible,infected
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,verb,infected ,recovered
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isMeasuredIn,susceptible,indviudals
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isMeasuredIn,recovered,indviudals
http://epirecip.es/epicookbook/chapters/sir/intro,sir_model,isMeasuredIn,infected ,indviudals